,Loeb_ko_sorted.bam,Loeb_wt_sorted.bam
60998593,63,110
60998594,65,115
60998595,64,115
60998596,72,103
60998597,70,68
60998598,70,65
60998599,68,69
60998600,71,67
60998601,68,70
60998602,68,70
60998603,68,68
60998604,67,69
60998605,68,69
60998606,70,69
60998607,71,73
60998608,70,75
60998609,75,89
60998610,180,113
60998611,182,136
60998612,183,148
60998613,206,150
60998614,289,250
60998615,408,345
60998616,381,347
60998617,394,349
60998618,399,333
60998619,407,337
60998620,423,345
60998621,428,478
60998622,425,486
60998623,433,487
60998624,441,542
60998625,470,550
60998626,467,552
60998627,454,542
60998628,452,531
60998629,448,541
60998630,454,541
60998631,452,544
60998632,453,625
60998633,445,632
60998634,434,626
60998635,439,628
60998636,335,585
60998637,329,586
60998638,300,550
60998639,261,487
60998640,260,474
60998641,202,403
60998642,196,391
60998643,187,383
60998644,176,376
60998645,171,369
60998646,87,321
60998647,89,301
60998648,85,299
60998649,84,299
60998650,82,296
60998651,48,158
60998652,44,57
60998653,45,8
60998654,32,8
60998655,30,8
60998656,34,7
60998657,26,6
60998658,26,6
60998659,26,7
60998660,26,7
60998661,27,9
60998662,27,9
60998663,27,9
60998664,26,8
60998665,31,8
60998666,8,8
60998667,8,8
60998668,8,8
60998669,8,4
60998670,8,2
60998671,8,2
60998672,8,2
60998673,8,2
60998674,8,1
60998675,8,2
60998676,8,2
60998677,8,2
60998678,8,2
60998679,8,2
60998680,8,2
60998681,4,2
60998682,4,2
60998683,4,2
60998684,4,2
60998685,4,2
60998686,4,2
60998687,4,2
60998688,4,2
60998689,4,2
60998690,0,2
60998691,0,2
60998692,0,2
60998693,0,2
60998694,0,0
60998695,0,0
60998696,0,0
60998697,0,0
60998698,0,0
60998699,0,0
60998700,0,0
60998701,0,0
60998702,0,0
60998703,0,0
60998704,0,0
60998705,0,0
60998706,0,0
60998707,0,0
60998708,0,0
60998709,0,0
60998710,0,0
60998711,0,0
60998712,0,0
60998713,0,0
60998714,0,0
60998715,0,0
60998716,0,0
60998717,0,0
60998718,0,1
60998719,4,1
60998720,4,1
60998721,4,1
60998722,4,1
60998723,4,1
60998724,4,1
60998725,4,1
60998726,4,1
60998727,3,1
60998728,4,2
60998729,3,2
60998730,4,2
60998731,3,2
60998732,4,2
60998733,4,1
60998734,4,2
60998735,4,2
60998736,4,2
60998737,4,2
60998738,4,2
60998739,4,2
60998740,4,2
60998741,4,2
60998742,4,2
60998743,4,2
60998744,4,2
60998745,4,2
60998746,4,2
60998747,4,2
60998748,4,1
60998749,0,1
60998750,5,1
60998751,6,1
60998752,5,1
60998753,6,1
60998754,6,1
60998755,6,1
60998756,6,1
60998757,6,1
60998758,6,0
60998759,5,0
60998760,5,0
60998761,6,0
60998762,4,0
60998763,5,0
60998764,6,0
60998765,6,0
60998766,6,0
60998767,5,0
60998768,6,0
60998769,5,0
60998770,4,0
60998771,6,0
60998772,6,0
60998773,0,0
60998774,0,0
60998775,0,0
60998776,0,0
60998777,0,0
60998778,0,0
60998779,0,0
60998780,0,0
60998781,0,0
60998782,0,0
60998783,0,0
60998784,0,2
60998785,0,7
60998786,0,7
60998787,0,6
60998788,0,7
60998789,0,9
60998790,3,8
60998791,3,8
60998792,3,9
60998793,3,9
60998794,3,8
60998795,3,9
60998796,3,12
60998797,39,13
60998798,38,11
60998799,39,24
60998800,37,25
60998801,38,26
60998802,38,26
60998803,37,26
60998804,38,26
60998805,37,24
60998806,37,26
60998807,37,26
60998808,37,26
60998809,38,22
60998810,38,23
60998811,38,23
60998812,36,21
60998813,37,21
60998814,40,21
60998815,42,21
60998816,42,16
60998817,41,16
60998818,42,16
60998819,42,16
60998820,40,15
60998821,39,13
60998822,36,13
60998823,35,9
60998824,36,9
60998825,35,9
60998826,35,9
60998827,35,9
60998828,4,0
60998829,4,0
60998830,4,0
60998831,4,0
60998832,3,0
60998833,4,0
60998834,3,0
60998835,3,0
60998836,3,0
60998837,3,0
60998838,0,0
60998839,0,0
60998840,0,0
60998841,0,0
60998842,0,0
60998843,0,0
60998844,0,0
60998845,0,0
60998846,0,0
60998847,0,0
60998848,0,0
60998849,0,0
60998850,0,0
60998851,0,0
60998852,0,0
60998853,0,0
60998854,0,0
60998855,0,0
60998856,0,0
60998857,0,0
60998858,0,0
60998859,0,0
60998860,0,0
60998861,0,0
60998862,0,0
60998863,0,0
60998864,0,0
60998865,0,0
60998866,0,0
60998867,0,0
60998868,0,0
60998869,0,8
60998870,0,7
60998871,0,8
60998872,0,8
60998873,0,8
60998874,0,8
60998875,0,9
60998876,0,9
60998877,0,8
60998878,0,9
60998879,0,8
60998880,0,9
60998881,0,9
60998882,0,9
60998883,0,9
60998884,0,8
60998885,0,16
60998886,0,16
60998887,0,16
60998888,0,16
60998889,0,16
60998890,0,16
60998891,0,16
60998892,0,15
60998893,0,16
60998894,0,16
60998895,0,16
60998896,0,15
60998897,0,15
60998898,0,15
60998899,0,15
60998900,0,6
60998901,0,6
60998902,0,6
60998903,0,6
60998904,0,6
60998905,0,6
60998906,0,6
60998907,0,6
60998908,0,6
60998909,0,6
60998910,0,6
60998911,0,0
60998912,0,0
60998913,0,0
60998914,0,0
60998915,0,0
60998916,0,0
60998917,0,0
60998918,0,0
60998919,0,0
60998920,0,0
60998921,0,0
60998922,0,0
60998923,0,0
60998924,0,0
60998925,0,0
60998926,0,0
60998927,0,0
60998928,0,0
60998929,0,0
60998930,0,0
60998931,0,0
60998932,0,0
60998933,0,0
60998934,0,0
60998935,0,0
60998936,0,0
60998937,0,0
60998938,0,0
60998939,0,0
60998940,0,0
60998941,0,0
60998942,0,0
60998943,0,0
60998944,0,0
60998945,0,0
60998946,0,0
60998947,0,0
60998948,0,0
60998949,0,0
60998950,0,0
60998951,0,0
60998952,0,0
60998953,0,0
60998954,0,0
60998955,0,0
60998956,0,0
60998957,0,0
60998958,0,0
60998959,0,0
60998960,0,0
60998961,0,0
60998962,1,0
60998963,1,0
60998964,1,0
60998965,1,0
60998966,1,0
60998967,1,0
60998968,1,0
60998969,1,0
60998970,1,0
60998971,1,0
60998972,1,0
60998973,1,0
60998974,1,2
60998975,1,2
60998976,1,2
60998977,1,2
60998978,1,1
60998979,1,1
60998980,1,2
60998981,1,2
60998982,1,2
60998983,1,2
60998984,1,2
60998985,1,1
60998986,1,2
60998987,1,2
60998988,1,2
60998989,1,2
60998990,1,2
60998991,1,2
60998992,1,2
60998993,0,2
60998994,0,2
60998995,0,2
60998996,0,2
60998997,0,2
60998998,0,2
60998999,0,2
60999000,0,2
60999001,0,0
60999002,0,0
60999003,0,0
60999004,11,0
60999005,9,0
60999006,11,0
60999007,11,1
60999008,9,1
60999009,10,1
60999010,11,1
60999011,12,1
60999012,11,1
60999013,11,1
60999014,12,1
60999015,12,1
60999016,13,1
60999017,13,1
60999018,13,4
60999019,13,4
60999020,13,4
60999021,13,4
60999022,13,6
60999023,13,7
60999024,13,7
60999025,12,7
60999026,13,7
60999027,13,7
60999028,13,6
60999029,13,7
60999030,13,6
60999031,13,6
60999032,12,6
60999033,1,5
60999034,1,6
60999035,1,6
60999036,1,6
60999037,1,6
60999038,1,14
60999039,1,14
60999040,1,13
60999041,1,12
60999042,1,12
60999043,1,14
60999044,0,11
60999045,0,10
60999046,0,14
60999047,1,14
60999048,1,14
60999049,1,14
60999050,1,14
60999051,1,14
60999052,1,14
60999053,1,11
60999054,1,11
60999055,6,8
60999056,6,8
60999057,6,8
60999058,5,8
60999059,6,8
60999060,8,8
60999061,8,8
60999062,8,0
60999063,8,0
60999064,8,0
60999065,8,0
60999066,8,0
60999067,10,0
60999068,10,0
60999069,10,0
60999070,10,0
60999071,10,0
60999072,10,0
60999073,9,0
60999074,10,0
60999075,10,0
60999076,10,0
60999077,10,0
60999078,10,0
60999079,4,0
60999080,4,0
60999081,4,0
60999082,4,0
60999083,4,0
60999084,3,0
60999085,3,0
60999086,3,9
60999087,5,9
60999088,5,9
60999089,5,10
60999090,5,56
60999091,5,55
60999092,5,54
60999093,3,55
60999094,2,56
60999095,3,52
60999096,3,52
60999097,4,52
60999098,4,50
60999099,3,53
60999100,4,53
60999101,4,53
60999102,4,53
60999103,4,52
60999104,4,57
60999105,4,54
60999106,3,54
60999107,3,56
60999108,4,56
60999109,4,57
60999110,4,54
60999111,4,46
60999112,4,48
60999113,4,47
60999114,4,5
60999115,3,5
60999116,4,5
60999117,1,6
60999118,1,6
60999119,1,5
60999120,38,6
60999121,38,6
60999122,38,6
60999123,37,23
60999124,37,24
60999125,37,24
60999126,37,23
60999127,37,23
60999128,37,24
60999129,37,23
60999130,36,24
60999131,36,17
60999132,36,15
60999133,36,17
60999134,36,17
60999135,36,17
60999136,36,17
60999137,36,17
60999138,36,17
60999139,36,17
60999140,36,17
60999141,36,17
60999142,36,17
60999143,36,17
60999144,36,17
60999145,36,0
60999146,36,0
60999147,36,1
60999148,36,1
60999149,36,1
60999150,0,1
60999151,0,2
60999152,0,2
60999153,0,2
60999154,0,2
60999155,0,2
60999156,0,2
60999157,0,2
60999158,0,2
60999159,0,6
60999160,0,6
60999161,0,6
60999162,0,6
60999163,0,6
60999164,0,6
60999165,0,6
60999166,0,6
60999167,0,6
60999168,0,6
60999169,0,6
60999170,0,6
60999171,0,6
60999172,0,5
60999173,0,5
60999174,0,5
60999175,0,5
60999176,0,5
60999177,0,5
60999178,0,4
60999179,0,3
60999180,0,3
60999181,0,3
60999182,0,3
60999183,0,3
60999184,0,3
60999185,0,3
60999186,0,3
60999187,0,3
60999188,0,3
60999189,0,3
60999190,0,3
60999191,0,3
60999192,0,0
60999193,0,0
60999194,0,0
60999195,0,0
60999196,0,0
60999197,0,0
60999198,0,0
60999199,0,0
60999200,0,0
60999201,0,0
60999202,0,0
60999203,0,7
60999204,6,6
60999205,5,10
60999206,5,9
60999207,4,10
60999208,5,10
60999209,6,9
60999210,5,10
60999211,6,9
60999212,6,8
60999213,6,12
60999214,5,12
60999215,6,13
60999216,6,13
60999217,5,13
60999218,9,13
60999219,8,13
60999220,9,13
60999221,10,13
60999222,9,13
60999223,13,13
60999224,13,13
60999225,13,13
60999226,12,14
60999227,12,19
60999228,12,20
60999229,13,20
60999230,13,20
60999231,13,20
60999232,13,20
60999233,13,20
60999234,7,10
60999235,7,10
60999236,7,10
60999237,7,10
60999238,7,10
60999239,7,10
60999240,7,10
60999241,7,10
60999242,7,10
60999243,7,9
60999244,7,9
60999245,11,10
60999246,20,10
60999247,18,10
60999248,19,9
60999249,19,9
60999250,14,9
60999251,15,10
60999252,10,9
60999253,12,8
60999254,12,9
60999255,12,9
60999256,17,42
60999257,17,34
60999258,19,41
60999259,19,49
60999260,54,53
60999261,69,52
60999262,77,52
60999263,76,53
60999264,78,53
60999265,78,51
60999266,76,52
60999267,80,52
60999268,78,51
60999269,85,52
60999270,93,155
60999271,93,153
60999272,92,155
60999273,88,155
60999274,82,156
60999275,80,156
60999276,82,156
60999277,82,155
60999278,82,156
60999279,82,154
60999280,76,152
60999281,77,153
60999282,74,148
60999283,72,146
60999284,74,147
60999285,75,147
60999286,73,146
60999287,72,117
60999288,69,111
60999289,24,110
60999290,25,110
60999291,29,100
60999292,19,100
60999293,20,99
60999294,19,98
60999295,19,99
60999296,16,53
60999297,16,54
60999298,15,54
60999299,12,53
60999300,12,50
60999301,4,0
60999302,4,0
60999303,4,0
60999304,4,0
60999305,4,0
60999306,4,0
60999307,4,0
60999308,4,0
60999309,4,0
60999310,4,0
60999311,4,1
60999312,4,1
60999313,4,1
60999314,3,6
60999315,4,6
60999316,3,6
60999317,0,6
60999318,4,5
60999319,4,6
60999320,4,6
60999321,4,5
60999322,3,4
60999323,4,6
60999324,4,6
60999325,4,6
60999326,4,4
60999327,4,5
60999328,4,5
60999329,4,6
60999330,4,6
60999331,4,6
60999332,4,5
60999333,4,5
60999334,4,5
60999335,4,5
60999336,4,5
60999337,4,5
60999338,4,5
60999339,4,4
60999340,4,4
60999341,4,5
60999342,4,5
60999343,0,0
60999344,0,0
60999345,0,0
60999346,0,0
60999347,0,0
60999348,0,0
60999349,0,0
60999350,0,0
60999351,0,0
60999352,0,0
60999353,0,0
60999354,0,0
60999355,0,0
60999356,0,0
60999357,0,0
60999358,0,0
60999359,0,0
60999360,0,0
60999361,0,0
60999362,0,0
60999363,0,0
60999364,0,0
60999365,0,0
60999366,0,0
60999367,0,0
60999368,0,2
60999369,0,5
60999370,0,5
60999371,0,5
60999372,0,4
60999373,0,5
60999374,0,5
60999375,0,5
60999376,0,4
60999377,0,5
60999378,0,5
60999379,0,5
60999380,0,5
60999381,0,5
60999382,0,5
60999383,0,29
60999384,0,29
60999385,0,28
60999386,0,28
60999387,0,28
60999388,0,28
60999389,0,29
60999390,0,29
60999391,0,29
60999392,0,28
60999393,0,28
60999394,0,28
60999395,0,27
60999396,0,27
60999397,3,28
60999398,3,28
60999399,2,24
60999400,3,24
60999401,3,24
60999402,3,24
60999403,3,24
60999404,3,24
60999405,3,24
60999406,2,23
60999407,2,24
60999408,3,23
60999409,3,24
60999410,2,24
60999411,2,24
60999412,2,24
60999413,2,0
60999414,2,0
60999415,2,0
60999416,2,0
60999417,2,0
60999418,2,0
60999419,2,0
60999420,2,0
60999421,2,0
60999422,2,0
60999423,0,0
60999424,0,0
60999425,0,0
60999426,0,0
60999427,0,0
60999428,0,0
60999429,0,0
60999430,0,0
60999431,0,0
60999432,0,0
60999433,0,0
60999434,0,0
60999435,0,0
60999436,0,0
60999437,0,0
60999438,0,0
60999439,0,0
60999440,0,0
60999441,0,0
60999442,0,0
60999443,0,0
60999444,0,0
60999445,0,0
60999446,0,0
60999447,0,0
60999448,0,0
60999449,0,0
60999450,0,0
60999451,4,0
60999452,4,0
60999453,4,0
60999454,4,0
60999455,4,0
